epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,4466.92,0.273,0.20768,0.00471,0.98073,0.99175,0.99037,0.98967,0.08535,0.08371,0.00215,0.000445393,0.000445393,0.000445393
78,4516.26,0.27228,0.19986,0.00462,0.9806,0.99116,0.99168,0.99069,0.08136,0.0677,0.00203,0.000441859,0.000441859,0.000441859
79,4565.73,0.26861,0.20182,0.00447,0.98416,0.98892,0.99356,0.99089,0.09073,0.07509,0.00243,0.000438325,0.000438325,0.000438325
80,4626.98,0.26308,0.18712,0.0044,0.98289,0.98797,0.99246,0.98951,0.09061,0.07531,0.00246,0.00043479,0.00043479,0.00043479
81,4688.13,0.26357,0.18615,0.0046,0.98562,0.98674,0.99108,0.99053,0.08228,0.07589,0.00205,0.000431256,0.000431256,0.000431256
82,4737.6,0.26862,0.20408,0.00462,0.98722,0.98974,0.99296,0.99111,0.08986,0.06413,0.00235,0.000427722,0.000427722,0.000427722
83,4786.87,0.26687,0.18613,0.0045,0.98789,0.99535,0.99341,0.99259,0.0829,0.05702,0.00202,0.000424187,0.000424187,0.000424187
84,4851.71,0.27068,0.19062,0.00469,0.98533,0.99135,0.99335,0.9924,0.07386,0.06542,0.00183,0.000420653,0.000420653,0.000420653
85,4912.99,0.26113,0.19307,0.00441,0.98474,0.99169,0.99236,0.99158,0.0754,0.07188,0.00185,0.000417119,0.000417119,0.000417119
86,4961.86,0.25968,0.19115,0.00443,0.98593,0.98849,0.99149,0.99089,0.07289,0.06821,0.00178,0.000413584,0.000413584,0.000413584
87,5011.09,0.25834,0.18839,0.00434,0.99082,0.98772,0.99235,0.99084,0.08489,0.06421,0.00211,0.00041005,0.00041005,0.00041005
88,5071.55,0.26469,0.19802,0.00444,0.98977,0.98428,0.99376,0.99288,0.08578,0.07918,0.00216,0.000406516,0.000406516,0.000406516
89,5133.43,0.25467,0.18386,0.00429,0.98981,0.98856,0.99378,0.99317,0.07413,0.06295,0.00184,0.000402982,0.000402982,0.000402982
90,5183.84,0.25225,0.17788,0.00429,0.99028,0.98942,0.99433,0.99372,0.07479,0.0718,0.00181,0.000399447,0.000399447,0.000399447
91,5233.73,0.26329,0.18625,0.00445,0.98118,0.98945,0.99281,0.99158,0.08281,0.07131,0.00196,0.000395913,0.000395913,0.000395913
92,5296.63,0.25368,0.18011,0.00433,0.9846,0.99412,0.9927,0.99181,0.07408,0.06397,0.00181,0.000392379,0.000392379,0.000392379
93,5345.62,0.24554,0.18604,0.00413,0.98978,0.98941,0.99184,0.99113,0.07002,0.06669,0.00174,0.000388844,0.000388844,0.000388844
94,5406.98,0.25523,0.1946,0.00428,0.98791,0.99278,0.9926,0.9919,0.07198,0.05429,0.00178,0.00038531,0.00038531,0.00038531
95,5456.21,0.24244,0.16397,0.00408,0.98494,0.99405,0.9931,0.99231,0.06906,0.06088,0.0017,0.000381776,0.000381776,0.000381776
96,5518.71,0.24203,0.17133,0.00405,0.98984,0.9889,0.9939,0.99308,0.07079,0.06139,0.00174,0.000378242,0.000378242,0.000378242
97,5579.67,0.23832,0.16953,0.00398,0.98733,0.99043,0.99374,0.99313,0.06696,0.0593,0.00163,0.000374707,0.000374707,0.000374707
98,5629.23,0.23514,0.17051,0.004,0.98475,0.98722,0.99365,0.993,0.07348,0.06704,0.00183,0.000371173,0.000371173,0.000371173
99,5678.33,0.24605,0.17269,0.00415,0.98952,0.98895,0.99292,0.99236,0.07459,0.05894,0.00184,0.000367639,0.000367639,0.000367639
100,5762.32,0.2467,0.17592,0.00421,0.98726,0.98324,0.99373,0.99291,0.06661,0.05983,0.00161,0.000364104,0.000364104,0.000364104
101,5844.1,0.24211,0.16807,0.00408,0.99107,0.99285,0.99393,0.9927,0.0732,0.05367,0.00182,0.00036057,0.00036057,0.00036057
102,5893.47,0.244,0.17579,0.00424,0.98908,0.99242,0.99371,0.99291,0.07282,0.05338,0.00182,0.000357036,0.000357036,0.000357036
